18:03:13.870 INFO  post-service [main] o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
18:03:13.990 INFO  post-service [main] o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
18:03:14.304 WARN  post-service [main] o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
18:03:14.687 INFO  post-service [main] o.s.c.n.e.c.DiscoveryClientOptionalArgsConfiguration - Eureka HTTP Client uses RestTemplate.
18:03:14.781 WARN  post-service [main] o.s.c.l.c.LoadBalancerCacheAutoConfiguration$LoadBalancerCaffeineWarnLogger - Spring Cloud LoadBalancer is currently working with the default cache. While this cache implementation is useful for development and tests, it's recommended to use Caffeine cache in production.You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
18:03:14.852 INFO  post-service [main] o.s.c.n.eureka.InstanceInfoFactory - Setting initial instance status as: STARTING
18:03:14.880 INFO  post-service [main] c.netflix.discovery.DiscoveryClient - Initializing Eureka in region us-east-1
18:03:14.884 INFO  post-service [main] c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
18:03:14.903 INFO  post-service [main] c.netflix.discovery.DiscoveryClient - Disable delta property : false
18:03:14.903 INFO  post-service [main] c.netflix.discovery.DiscoveryClient - Single vip registry refresh property : null
18:03:14.903 INFO  post-service [main] c.netflix.discovery.DiscoveryClient - Force full registry fetch : false
18:03:14.903 INFO  post-service [main] c.netflix.discovery.DiscoveryClient - Application is null : false
18:03:14.903 INFO  post-service [main] c.netflix.discovery.DiscoveryClient - Registered Applications size is zero : true
18:03:14.904 INFO  post-service [main] c.netflix.discovery.DiscoveryClient - Application version is -1: true
18:03:14.904 INFO  post-service [main] c.netflix.discovery.DiscoveryClient - Getting all instance registry info from the eureka server
18:03:15.139 INFO  post-service [main] c.netflix.discovery.DiscoveryClient - The response status is 200
18:03:15.142 INFO  post-service [main] c.netflix.discovery.DiscoveryClient - Starting heartbeat executor: renew interval is: 30
18:03:15.143 INFO  post-service [main] c.n.discovery.InstanceInfoReplicator - InstanceInfoReplicator onDemand update allowed rate per min is 4
